Name, Frequency
Poenulus	1
Pseudolus	1
Pylades	1
Queen of Sheba	1
Rafael Trujillo	1
Ralph Roister Doister	1
Republic of Gilead	1
Republic of Zimbabwe	1
Rhadamanthys	1
Robert Graves	1
Roman Comedy	1
Roman Emperors	1
Rubaiyat	1
Ruben Darío	1
Rubén Darío	1
Saga of Burnt Njal	1
Samia	1
Satyricon Liber	1
Saul Bellow	1
Seize the Day	1
Semele	1
Seven Against Thebes	1
Signore Pococurante	1
Silenus	1
Simonides	1
Simonides of Amorgos	1
Spenserian Stanza	1
Srimad Bhagavad-Gita	1
Stella	1
Strepsiades	1
Sun Wukong	1
Susan Brownell Anthony	1
Symposium	1
Ted Hughes	1
Telemachus	1
The Alchemist	1
The Assembly-Women	1
The Atheists Tragedy	1
The Baron in the Trees	1
The Brief Wondrous Life of Oscar Wao	1
The Cocktail Party	1
The Confessions of Zeno	1
The Eumenides	1
The Giants	1
The Green Pope	1
The Grouch	1
The Lusiads	1
The Menaechmi	1
The Mill on the Floss	1
The Mystic Masseur	1
The Night of the Iguana	1
The North Sea	1
The Pumpkinification of the Divine Claudius	1
The Recognition of Shakuntala	1
The Rope	1
The Rubaiyat of Omar Khayyam	1
The Tale of Genji	1
The Tempest	1
The Testaments	1
The Trachiniae	1
The Trojan Women	1
The White Devil	1
The Wretched of the Earth	1
Theocritus	1
Thomas Kyd	1
Thomas À Becket	1
Thousand Cranes	1
Tiberius Claudius Caesar Augustus Germanicus	1
Timon of Athens	1
Trimalchios Feast	1
Trojan Horse	1
Trojan War	1
Troy	1
Trygaeus	1
Tsvetan Todorov	1
Turnus	1
Ubu Roior King Ubu	1
V.S. Naipaul	1
Voltaire	1
Wang Mang	1
Watchmen	1
Water Margin	1
William Faulkners Nobel Acceptance Speech	1
Works and Days	1
Yaa Gyasi	1
A Big Fish	1
A Fishing Rod	1
A Funeral	1
A Harpy	1
A Shield	1
Albatrosses	1
Alexandrine	1
Anagnorisis	1
Anapestic Tetrameter	1
Artist	1
Ass	1
Ballroom Dancing	1
Biting Off His Little Finger	1
Bread and Circuses	1
Brother	1
Carpe Diem	1
Chefs	1
Chorus	1
Clay Pots	1
Comedies	1
Couplet	1
Couplets	1
Courtiers	1
Cranes	1
Crossroads	1
De Andrade	1
Detectives	1
Deus Ex Machina	1
Dragons	1
Drowning	1
Epigram	1
Farming	1
Farms	1
Flower	1
Forum	1
Galactic Coordinates	1
Geisha	1
Ghosts	1
Gold	1
Hate and Love	1
Having Sex	1
Hendecasyllables	1
Iamb	1
Islands	1
Jade	1
Jinni	1
Jungles	1
Kabuki	1
Katabasis	1
Local Sidereal Time	1
Medicine	1
Mimesis	1
Mist	1
Mythos	1
Napkins	1
Ode	1
Peripeteia	1
Peroration	1
Plague	1
Playing a Woman	1
Polytropos	1
Radio	1
Revenge	1
Rhetoric	1
Sanskrit	1
Sausages	1
Seasons	1
Shield	1
Sister	1
Skylark	1
Soldier	1
Solitude	1
Stichomythia	1
Strophe	1
Tea	1
Temple	1
The 47 Ronin	1
The City Dionysia	1
The Eclogues	1
The Euthyphro	1
The Georgics	1
The Greek Chorus	1
The Maenads	1
The Metamorphoses	1
The Muses	1
The Odes of Horace	1
The Old Gringo	1
The Oresteia Trilogy	1
The Symposium	1
The Birth of Tragedy	1
The Trial of Orestes	1
Tonight	1
Trials	1
Twins	1
Umbrella	1
Walking on a Red/Purple Carpet	1
Wine	1
Withholding Sex	1
Written in a Single Sentence	1
A Supposedly Fun Thing Ill Never Do Again	1
Hymn to Aphrodite	1
The Tortoise and the Hare	1
The Waste Land	1
But Who Will Watch the Watchmen?	1
Sound Mind in a Sound Body	1
Sunt Lachrimae Rerum	1
